x,y,theta,v_desired,omega_desired,v_safe,omega_safe
[0.48318446],[2.79498307],[-2.03314399],0.5004327655145901,-0.9475432675479127,-1.79746e-10,-0.785398
[0.48318446],[2.79498307],[-2.19022362],0.1262598431444408,3.0312781371100215,-7.75564e-09,0.785398
[0.48318446],[2.79498307],[-2.03314398],0.25790978885843935,-2.0695205594220907,6.3548e-09,-0.785398
[0.48318446],[2.79498307],[-2.19022362],0.4497404316963796,0.15659668065640187,1.55143e-09,0.156597
[0.48318446],[2.79498307],[-2.15890428],0.11119381309098537,1.7219844229927217,-8.44532e-09,0.785398
[0.48318446],[2.79498307],[-2.00182465],0.21883864380168674,0.05406590522816401,7.10222e-09,0.0540659
[0.48318446],[2.79498307],[-1.99101147],0.43163401369448545,-0.9218841092958496,2.82083e-09,-0.785398
[0.48318446],[2.79498307],[-2.1480911],0.33234545437756474,0.8567386967961932,-1.19291e-09,0.785398
[0.48318446],[2.79498307],[-1.99101147],0.3941997066665926,-2.30151083224278,1.07829e-09,-0.785398
[0.48318446],[2.79498307],[-2.1480911],0.36959511946740503,1.5695105393663935,-5.99477e-10,0.785398
[0.48318446],[2.79498307],[-1.99101147],0.3597932524752597,-1.2565153709954209,3.78733e-10,-0.785398
[0.48318446],[2.79498307],[-2.1480911],0.5994902400902761,1.6730144625012668,9.66461e-10,0.785398
[0.48318446],[2.79498307],[-1.99101147],0.15765566860838404,-2.6837239077610815,-5.10191e-10,-0.785398
[0.48318446],[2.79498307],[-2.1480911],0.47410453872202896,-2.866719679627627,-9.00421e-11,-0.785398
[0.48318446],[2.79498307],[-2.30517074],0.1001803436918033,-1.7376760071063888,-1.09632e-08,-0.785398
[0.48318446],[2.79498307],[-2.46225037],0.5471532971323387,1.9504655640323358,1.0314e-08,0.785398
[0.48318446],[2.79498307],[-2.30517074],0.4527776118984169,2.893957677255374,-3.35201e-10,0.785398
[0.48318446],[2.79498307],[-2.1480911],0.39622292982964347,2.223328145149316,-1.3715e-10,0.785398
[0.48318446],[2.79498307],[-1.99101147],0.157922443095628,-1.296192292999427,-4.41934e-09,-0.785398
[0.48318446],[2.79498307],[-2.1480911],0.084861671658658,1.0926938473970988,-8.32601e-09,0.785398
[0.48318446],[2.79498307],[-1.99101147],0.30294575166836246,0.45202329875679137,1.33323e-08,0.452023
[0.48318446],[2.79498307],[-1.90060681],0.5800569238039376,2.3836564377777343,2.3652e-09,0.785398
[0.48318446],[2.79498307],[-1.74352718],0.592935320419267,-0.5312179821964045,5.3963e-10,-0.531218
[0.48318446],[2.79498307],[-1.84977077],0.4609215090686495,-2.771562673882377,-8.98299e-10,-0.785398
[0.48318446],[2.79498307],[-2.00685041],0.5067556173551931,-2.0475310441413734,-1.7651e-10,-0.785398
[0.48318446],[2.79498307],[-2.16393004],0.01867653180460027,-2.1053413550377424,-2.21656e-08,-0.785398
[0.48318446],[2.79498307],[-2.32100968],0.19241661412362024,2.098820105896296,1.58708e-08,0.785398
[0.48318446],[2.79498307],[-2.16393004],0.42762675188812105,-0.9723962360932616,4.12399e-09,-0.785398
[0.48318446],[2.79498307],[-2.32100968],0.4626699736398252,3.1341478208181384,-1.77107e-11,0.785398
[0.48318446],[2.79498307],[-2.16393004],0.040876534121412164,-1.1178373837886006,-8.18808e-09,-0.785398
[0.48318446],[2.79498307],[-2.32100968],0.33346659231087966,-1.184961832024228,6.46463e-09,-0.785398
[0.48318446],[2.79498307],[-2.47808931],0.5793442325772125,1.553537737094027,1.35904e-09,0.785398
[0.48318446],[2.79498307],[-2.32100968],0.4854394094470344,0.6908626902698805,-2.73321e-10,0.690863
[0.48318446],[2.79498307],[-2.18283714],0.2721920841992949,0.9680116381506076,-1.80454e-09,0.785398
[0.48318446],[2.79498307],[-2.02575751],0.39134401724946904,1.1878574364666878,1.95364e-09,0.785398
[0.48318446],[2.79498307],[-1.86867787],0.4465746802515216,0.38787609757732255,9.54568e-10,0.387876
[0.48318446],[2.79498307],[-1.79110266],0.31080785685475926,-3.095313850928379,5.43229e-10,-0.785398
[0.48318446],[2.79498307],[-1.94818229],0.5631450006582925,1.9322301371843738,-1.07903e-10,0.785398
[0.48318446],[2.79498307],[-1.79110266],0.5885683925520768,1.6831934952123655,5.67e-10,0.785398
[0.48318446],[2.79498307],[-1.63402302],0.004233467894313714,1.3131821761811286,-2.94421e-07,0.785398
[0.48318446],[2.79498313],[-1.47694339],0.13896705340374063,-0.8615596697838397,4.34398e-07,-0.785398
[0.48318447],[2.79498304],[-1.63402302],0.02738458279985758,2.3018111692773164,-1.0333e-08,0.785398
[0.48318447],[2.79498304],[-1.47694338],0.5952073526950933,-2.0964304234522335,2.268e-08,-0.785398
[0.48318447],[2.79498304],[-1.63402302],0.4137593558725849,1.35206507886672,-1.59289e-09,0.785398
[0.48318447],[2.79498304],[-1.47694338],0.5915711022870502,-0.9753183785220259,2.36199e-09,-0.785398
[0.48318447],[2.79498304],[-1.63402302],0.02661652866935873,0.7335571350045829,-1.56564e-08,0.733557
[0.48318447],[2.79498304],[-1.48731159],0.2054211039900821,0.5256105700148153,1.87971e-08,0.525611
[0.48318447],[2.79498304],[-1.38218948],0.241028266223252,-1.6547212806536251,3.51157e-09,-0.785398
[0.48318447],[2.79498304],[-1.53926912],0.3687359896506628,-0.531228326834039,-3.05591e-10,-0.531228
[0.48318447],[2.79498304],[-1.64551478],0.31774434338824215,0.7206024001768045,-1.28277e-09,0.720602
[0.48318447],[2.79498304],[-1.50139431],0.07358531265495724,-0.7289176345253452,-1.14828e-08,-0.728918
[0.48318447],[2.79498304],[-1.64717783],0.21628750915637546,0.5910748220581339,6.22896e-09,0.591075
[0.48318447],[2.79498304],[-1.52896287],0.5654348931206933,-1.5121426925362251,5.33817e-09,-0.785398
[0.48318447],[2.79498304],[-1.68604251],0.12318045436125204,-0.14604262422106906,-9.4898e-09,-0.146043
[0.48318447],[2.79498304],[-1.71525103],0.4956278519674336,-2.1278059851126674,7.98698e-09,-0.785398
[0.48318447],[2.79498304],[-1.87233067],0.5941463299901915,-1.8826657571807188,-8.08482e-11,-0.785398
[0.48318447],[2.79498304],[-2.0294103],0.45863407539632095,1.0281754029432078,-9.23909e-10,0.785398
[0.48318447],[2.79498304],[-1.87233067],0.5059097624106251,-2.3575937594019707,7.1298e-10,-0.785398
[0.48318447],[2.79498304],[-2.0294103],0.31528909057239235,-1.9163573824622668,-1.85492e-09,-0.785398
[0.48318447],[2.79498304],[-2.18648994],0.2797767180470712,2.8367729558979144,-9.28288e-10,0.785398
[0.48318447],[2.79498304],[-2.0294103],0.07651605715913443,2.692136052479216,-1.25353e-08,0.785398
[0.48318447],[2.79498304],[-1.87233067],0.514210142665675,2.48574991211955,1.81868e-08,0.785398
[0.48318447],[2.79498304],[-1.71525103],0.016002318099293023,-0.6757650363560135,-7.52832e-08,-0.675765
[0.48318447],[2.79498305],[-1.85040404],0.17681920535314125,-0.42769358905939914,5.72444e-08,-0.427694
[0.48318447],[2.79498304],[-1.93594276],0.32498389111204057,-0.08603554923600631,2.67223e-09,-0.0860356
[0.48318447],[2.79498304],[-1.95314987],0.4333956215498697,-0.408582714099595,8.60903e-10,-0.408583
[0.48318447],[2.79498304],[-2.03486641],0.02290064745639404,-2.5387121485704336,-1.78163e-07,-0.785398
[0.48318449],[2.79498307],[-2.19194605],0.39922718783449107,0.2102679487443022,1.57909e-07,0.210268
